field1,field2,field3,field4,field5,_GC_TYPE,_CLEANADDR,_X,_Y
0,가락2호,서울,송파구,서울 송파구 가락동 75-7,정,서울특별시 송파구 가락동 75-7,127.1200318068519,37.49701571576604
1,가산디지털,서울,금천구,서울 금천구 가산동 371-6 가산비지니스센터 2층,정,서울특별시 금천구 가산동 371-6,126.8810622917214,37.480189787309065
2,가양,서울,강서구,서울 강서구 등촌동 75-1,정,서울특별시 강서구 등촌동 75-1,126.8539616560618,37.56126683496574
3,강남역,서울,서초구,서울 서초구 서초동 1309-6,정,서울특별시 서초구 서초동 1309-6,127.02425756942161,37.50174682727158
4,강서구청,서울,강서구,서울 강서구 화곡동 986-16,정,서울특별시 강서구 화곡동 986-16,126.84729183562466,37.549589744571584
9,건대,서울,광진구,서울 광진구 화양동 9-18,정,서울특별시 광진구 화양동 9-18,127.06939094802907,37.541706074183
10,경희대,서울,동대문구,서울 동대문구 회기동 42-16,정,서울특별시 동대문구 회기동 42-16,127.05144354366217,37.59288678621619
8,거여가락1호,서울,송파구,서울 송파구 가락동 180-9,정,서울특별시 송파구 가락동 180-9,127.1355790737019,37.49251654823357
5,강일,서울,강동구,서울 강동구 강일동 679-3 리슈빌오피스텔,정,서울특별시 강동구 강일동 679-3,127.17372768076243,37.56438424335764
7,개포1호,서울,강남구,서울 강남구 개포동 1229-18,정,서울특별시 강남구 개포동 1229-18,127.0469129378445,37.47625874360712
6,개봉1호,서울,구로구,서울 구로구 개봉동 403-159,정,서울특별시 구로구 개봉동 403-159,126.8564776388109,37.48839194209567
13,공릉1호,서울,노원구,서울 노원구 공릉동 338-6,정,서울특별시 노원구 공릉동 338-6,127.07915019008985,37.622961375824445
11,고덕1호(서울),서울,강동구,서울 강동구 고덕동 650-1,정,서울특별시 강동구 고덕동 650-1,127.15165734703542,37.55981372933838
12,고척1호,서울,구로구,서울 구로구 개봉1동 126-4,정,서울특별시 구로구 개봉동 126-4,126.84837136147085,37.502435154470554
15,광장,서울,광진구,서울 광진구 광장동 530-13,정,서울특별시 광진구 광장동 530-13,127.095708753639,37.54198224335448
14,공릉2호,서울,노원구,서울 노원구 공릉동 461-1,정,서울특별시 노원구 공릉동 461-1,127.07581373869476,37.630203841032966
19,구의역,서울,광진구,서울 광진구 구의동 257-70,정,서울특별시 광진구 구의동 257-70,127.08511849848337,37.53896771481423
18,구산역,서울,은평구,서울 은평구 갈현동 464-14,정,서울특별시 은평구 갈현동 464-14,126.91725113801746,37.612875779895816
16,구로2호,서울,구로구,서울 구로구 구로동 74-30,정,서울특별시 구로구 구로동 74-30,126.89302842552505,37.496127786066026
17,구로디지털,서울,구로구,서울 구로구 구로동 826-1,정,서울특별시 구로구 구로동 826-1,126.89806058993089,37.482670654450146
22,대치1호,서울,강남구,서울 강남구 대치동936,정,서울특별시 강남구 대치동 936,127.05268164811964,37.49750810849786
20,개포1호,서울,강남구,서울 강남구 개포동 1229-18,정,서울특별시 강남구 개포동 1229-18,127.0469129378445,37.47625874360712
25,삼성1호,서울,강남구,서울 강남구 삼성동 44-18,정,서울특별시 강남구 삼성동 44-18,127.04902577942775,37.51206011440923
