,store,sido,gungu,store_address
0,가락2호,서울,송파구,서울 송파구 가락동 75-7
1,가산디지털,서울,금천구,서울 금천구 가산동 371-6 가산비지니스센터 2층
2,가양,서울,강서구,서울 강서구 등촌동 75-1
3,강남역,서울,서초구,서울 서초구 서초동 1309-6
4,강서구청,서울,강서구,서울 강서구 화곡동 986-16
5,강일,서울,강동구,서울 강동구 강일동 679-3 리슈빌오피스텔
6,개봉1호,서울,구로구,서울 구로구 개봉동 403-159
7,개포1호,서울,강남구,서울 강남구 개포동 1229-18
8,거여가락1호,서울,송파구,서울 송파구 가락동 180-9
9,건대,서울,광진구,서울 광진구 화양동 9-18
10,경희대,서울,동대문구,서울 동대문구 회기동 42-16
11,고덕1호(서울),서울,강동구,서울 강동구 고덕동 650-1
12,고척1호,서울,구로구,서울 구로구 개봉1동 126-4
13,공릉1호,서울,노원구,서울 노원구 공릉동 338-6
14,공릉2호,서울,노원구,서울 노원구 공릉동 461-1
15,광장,서울,광진구,서울 광진구 광장동 530-13
16,구로2호,서울,구로구,서울 구로구 구로동 74-30
17,구로디지털,서울,구로구,서울 구로구 구로동 826-1
18,구산역,서울,은평구,서울 은평구 갈현동 464-14
19,구의역,서울,광진구,서울 광진구 구의동 257-70
20,개포1호,서울,강남구,서울 강남구 개포동 1229-18
21,논현1호(서울),서울,강남구,서울 강남구 논현동 164-16
22,대치1호,서울,강남구,서울 강남구 대치동936
23,대치2호,서울,강남구,서울 강남구 대치동 989-4
24,도곡,서울,강남구,서울 강남구 도곡동 416-4
25,삼성1호,서울,강남구,서울 강남구 삼성동 44-18
26,세곡,서울,강남구,서울 강남구 자곡동 611
27,압구정신사,서울,강남구,서울 강남구 신사동 640-5 대성빌딩 1층 1호
28,역삼1호,서울,강남구,서울 강남구 역삼동 837-15
29,일원1동,서울,강남구,서울 강남구 일원동 645
30,일원본동,서울,강남구,서울 강남구 수서동 747 삼성아파트 상가 104호
31,청담역,서울,강남구,서울 강남구 청담동 65 진흥아파트상가
32,강일,서울,강동구,서울 강동구 강일동 679-3 리슈빌오피스텔
33,고덕1호(서울),서울,강동구,서울 강동구 고덕동 650-1
